Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
12/3/2020,Kaukauna,Appleton North,15,22,6,1,0,0,1,1,0,6,0.166666667,1,1,Yes
12/4/2020,Kaukauna,Oshkosh West,15,15,5,2,1,0,1,1,2,6,0.375,2.25,2.535,Yes
12/8/2020,Kaukauna,Appleton East,15,19,2,0,0,0,1,1,1,6,0,0,0,Yes
12/11/2020,Kaukauna,Hortonville,15,20,7,2,1,0,2,2,1,7,0.333333333,2.333333333,2.586666667,Yes
12/12/2020,Kaukauna,De Pere,15,27,11,3,2,0,1,1,0,9,0.384615385,3.461538462,4.046153846,No
12/15/2020,Kaukauna,Kimberly,15,18,2,1,1,0,0,0,0,5,0.666666667,3.333333333,3.84,No
12/18/2020,Kaukauna,Oshkosh North,15,19,3,1,0,0,1,1,5,3,0.125,0.375,0.375,No
12/21/2020,Kaukauna,Fond du Lac,15,31,4,1,2,1,0,1,0,3,0.6,1.8,2.712,No
12/23/2020,Kaukauna,Neenah,15,24,7,2,0,0,2,2,0,7,0.285714286,2,2,No
12/29/2020,Kaukauna,Pius XI Catholic,15,19,3,2,0,0,1,1,0,5,0.666666667,3.333333333,3.333333333,Yes
12/30/2020,Kaukauna,Greendale,15,29,6,3,3,0,2,2,2,9,0.545454545,4.909090909,6.152727273,Yes
1/5/2021,Kaukauna,Appleton West,15,20,8,5,3,1,3,4,1,13,0.727272727,9.454545455,11.11272727,Yes
1/7/2021,Kaukauna,Appleton North,15,25,10,1,1,0,0,0,0,3,0.181818182,0.545454545,0.683636364,Yes
1/11/2021,Kaukauna,Seymour,15,27,5,4,2,1,3,4,0,11,1,11,12.52,Yes
1/12/2021,Kaukauna,Neenah,15,25,3,1,0,0,0,0,0,5,0.333333333,1.666666667,1.666666667,No
1/15/2021,Kaukauna,Oshkosh West,15,24,5,1,0,0,3,3,1,3,0.166666667,0.5,0.5,Yes
1/16/2021,Kaukauna,Tomah,15,21,4,3,1,0,1,1,0,9,0.8,7.2,7.808,No
1/19/2021,Kaukauna,Green Bay Southwest,15,16,5,3,1,0,0,0,1,11,0.571428571,6.285714286,6.72,Yes
1/22/2021,Kaukauna,Hortonville,15,12,2,1,3,1,1,2,1,3,0.8,2.4,4.224,Yes
1/23/2021,Kaukauna,Appleton West,15,16,8,6,1,0,1,1,0,20,0.777777778,15.55555556,16.14666667,Yes
1/29/2021,Kaukauna,Kimberly,15,24,6,5,0,0,0,0,0,15,0.833333333,12.5,12.5,No
2/2/2021,Kaukauna,Appleton East,15,20,8,4,2,1,0,1,0,13,0.666666667,8.666666667,9.68,No
12/3/2020,Kaukauna,Appleton North,20,32,4,0,1,5,9,14,1,10,1,10,10.76,Yes
12/4/2020,Kaukauna,Oshkosh West,20,33,5,3,0,1,13,14,1,8,0.6,4.8,4.8,Yes
12/8/2020,Kaukauna,Appleton East,20,14,7,3,1,2,5,7,3,7,0.444444444,3.111111111,3.448888889,Yes
12/11/2020,Kaukauna,Hortonville,20,39,10,6,1,1,7,8,3,16,0.538461538,8.615384615,9.024615385,Yes
12/12/2020,Kaukauna,De Pere,20,24,8,3,0,1,0,1,0,7,0.428571429,3,3,No
12/18/2020,Kaukauna,Oshkosh North,20,20,13,9,1,5,2,7,0,19,1.111111111,21.11111111,21.95555556,No
12/21/2020,Kaukauna,Fond du Lac,20,29,8,3,0,2,3,5,2,9,0.375,3.375,3.375,No
12/23/2020,Kaukauna,Neenah,20,23,2,1,0,1,0,1,0,3,1,3,3,No
12/29/2020,Kaukauna,Pius XI Catholic,20,33,17,13,2,2,7,9,1,28,0.833333333,23.33333333,24.6,Yes
12/30/2020,Kaukauna,Greendale,20,34,9,7,1,3,9,12,3,18,0.8,14.4,15.008,Yes
1/5/2021,Kaukauna,Appleton West,20,24,12,8,3,5,11,16,2,20,0.916666667,18.33333333,20.42333333,Yes
1/7/2021,Kaukauna,Appleton North,20,39,10,6,2,2,9,11,2,12,0.666666667,8,9.013333333,Yes
1/11/2021,Kaukauna,Seymour,20,37,6,4,1,3,2,5,1,10,1,10,10.76,Yes
1/12/2021,Kaukauna,Neenah,20,35,9,4,0,3,4,7,1,10,0.571428571,5.714285714,5.714285714,No
1/15/2021,Kaukauna,Oshkosh West,20,31,7,4,1,3,6,9,2,9,0.714285714,6.428571429,6.971428571,Yes
1/16/2021,Kaukauna,Tomah,20,33,7,2,1,2,5,7,2,6,0.375,2.25,2.535,No
1/19/2021,Kaukauna,Green Bay Southwest,20,34,7,5,1,2,5,7,1,11,0.857142857,9.428571429,10.08,Yes
1/22/2021,Kaukauna,Hortonville,20,32,15,10,4,5,12,17,0,21,1,21,24.04,Yes
1/23/2021,Kaukauna,Appleton West,20,27,7,4,1,1,10,11,2,11,0.555555556,6.111111111,6.533333333,Yes
1/29/2021,Kaukauna,Kimberly,20,27,12,2,0,2,5,7,2,4,0.166666667,0.666666667,0.666666667,No
2/2/2021,Kaukauna,Appleton East,20,30,7,6,2,2,2,4,1,16,1,16,17.52,No
12/3/2020,Kaukauna,Appleton North,21,18,3,1,1,3,4,7,1,4,1,4,4.76,Yes
12/4/2020,Kaukauna,Oshkosh West,21,35,9,8,6,2,7,9,0,22,1.076923077,23.69230769,28.60307692,Yes
12/8/2020,Kaukauna,Appleton East,21,32,8,6,4,3,8,11,1,15,1,15,18.04,Yes
12/11/2020,Kaukauna,Hortonville,21,40,7,5,5,4,6,10,7,12,0.666666667,8,10.53333333,Yes
12/12/2020,Kaukauna,De Pere,21,26,8,5,5,2,4,6,1,12,0.833333333,10,13.16666667,No
12/15/2020,Kaukauna,Kimberly,21,19,10,2,5,0,1,1,0,4,0.466666667,1.866666667,3.64,No
12/21/2020,Kaukauna,Fond du Lac,21,30,9,8,0,3,4,7,3,17,0.888888889,15.11111111,15.11111111,No
12/23/2020,Kaukauna,Neenah,21,26,3,0,1,1,5,6,1,2,0.25,0.5,0.69,No
12/29/2020,Kaukauna,Pius XI Catholic,21,29,14,10,11,6,8,14,1,26,1.05,27.3,36.078,Yes
12/30/2020,Kaukauna,Greendale,21,32,7,5,1,2,3,5,4,10,0.6,6,6.456,Yes
