Date,DayOfWeek,WakeUp,BedTime,HoursOfSleep,PagesRead,Water,Vitamins,Creatine,FinishedSchool,HeartRate,Bible,Rosary,Weight,ScreenTime,BrushTeeth,Shower,Workout,InterviewQuestions,FruitOrVegetable,LearnedSomething,WhatWasLearned,HappinessLevelMorning,HappinessLevelNight,HappinessChange
4/14/2021,Wednesday,6.55,10.9,6.9,20,12,No,No,No,60,No,No,167,6.75,1,Yes,No,10,No,Yes,Want to work at Schneider,5,7,2
4/15/2021,Thursday,6.77,10.75,6.6,20,24,Yes,Yes,Yes,60,Yes,Yes,167,6.55,2,Yes,Yes,0,Yes,Yes,Got Job,8,9,1
4/16/2021,Friday,6.5,11.1,6.8,0,24,Yes,Yes,Yes,59,No,No,168,4.1,2,Yes,Yes,0,Yes,Yes,Miss Katelyn,5,5,0
4/17/2021,Saturday,7.26,9.01,7.1,0,24,Yes,No,Yes,58,No,No,168,4.9,2,No,Yes,0,No,Yes,Ready for job,5,5,0
4/18/2021,Sunday,6.26,10.45,8.1,0,48,Yes,No,Yes,57,No,No,168,3.74,2,No,Yes,0,No,No,NA,5,4,-1
4/19/2021,Monday,5.55,11.2,6.3,0,24,No,No,Yes,58,No,No,168,4.2,2,No,Yes,0,No,No,NA,5,4,-1
4/20/2021,Tuesday,5,10.2,5,0,24,Yes,No,Yes,59,No,No,168,4.73,1,Yes,No,0,No,No,NA,4,4,0
4/21/2021,Wednesday,6.4,11.3,7.24,20,24,No,No,Yes,59,No,No,168,8.3,1,No,No,0,Yes,Yes,Working ahead is great,6,5,-1
4/22/2021,Thursday,6.05,10.3,6.2,30,72,No,Yes,Yes,59,No,Yes,168,6.9,1,Yes,Yes,0,Yes,Yes,Can't wait to live in GB,5,3,-2
4/23/2021,Friday,6.27,10.6,6.76,0,48,Yes,Yes,Yes,61,Yes,No,170,5.47,1,Yes,Yes,0,Yes,Yes,Green Bay,4,6,2
4/24/2021,Saturday,8.01,11.1,7.95,30,48,No,No,Yes,59,No,No,170,3.8,0,No,No,1,No,Yes,Can't wait to live in GB,6,7,1
4/25/2021,Sunday,6.6,11.45,6.5,30,48,No,No,Yes,57,No,No,170,3.8,0,No,No,1,No,Yes,No kids til after grad school,6,6,0
4/26/2021,Monday,6.15,10.1,6.1,0,96,Yes,No,Yes,57,No,Yes,170,7.1,2,Yes,Yes,0,Yes,Yes,Working out is what I need,5,3,-2
4/27/2021,Tuesday,5.2,10.25,6.1,0,24,No,No,Yes,57,No,No,170,4.6,2,No,No,0,No,Yes,Want to finish school,5,6,1
4/28/2021,Wednesday,6.6,11.59,9.5,20,48,Yes,No,Yes,59,Yes,No,169,6,2,Yes,Yes,0,Yes,No,NA,7,5,-2
4/29/2021,Thursday,5.99,11.24,5.73,20,24,Yes,No,Yes,58,No,Yes,169,6.55,2,Yes,Yes,0,No,No,NA,6,6,0
4/30/2021,Friday,5.52,10.1,7.69,20,24,Yes,No,Yes,59,No,No,169,5.7,2,Yes,Yes,0,No,No,NA,5,3,-2
5/1/2021,Saturday,7.8,2.45,8,0,72,Yes,No,Yes,59,No,No,169,2.95,2,No,Yes,1,No,Yes,Done with golf,4,2,-2
5/2/2021,Sunday,7.8,11.05,4.6,0,12,No,No,Yes,61,No,No,169,2,2,No,Yes,0,No,No,NA,2,5,3
5/3/2021,Monday,6.7,,6.6,,,,,,59,,,169,,2,,,,,,,7,,-7
