DateOfGame,Team,Opponent,PointsScored,FieldGoalAttempts,FieldGoalsMade,OffensiveRebounds,Assists,Turnovers,WinOrLoss,OffensiveEfficiency,EfficientPointsScored,RawEOP
1/12/2021,Manitowoc Lincoln,Sheboygan North,56,36,18,9,6,19,Win,0.461538462,25.84615385,27.95076923
1/15/2021,De Pere,Ashwaubenon,53,44,18,3,6,14,Loss,0.393442623,20.85245902,22.64655738
1/15/2021,Green Bay Southwest,Sheboygan North,64,51,22,9,11,19,Loss,0.458333333,29.33333333,33.165
1/15/2021,Notre Dame,Manitowoc Lincoln,62,49,26,3,14,11,Win,0.563380282,34.92957746,40.92394366
1/15/2021,Manitowoc Lincoln,Notre Dame,56,46,20,4,11,18,Loss,0.436619718,24.45070423,28.10084507
1/15/2021,Bay Port,Pulaski,70,49,27,11,18,11,Win,0.671641791,47.01492537,56.20298507
1/15/2021,Sheboygan South,Green Bay Preble,66,41,19,4,11,25,Win,0.410958904,27.12328767,30.55890411
1/16/2021,De Pere,Green Bay Southwest,91,62,34,10,17,9,Win,0.653846154,59.5,67.94769231
1/16/2021,Green Bay Southwest,De Pere,62,52,23,2,12,15,Loss,0.454545455,28.18181818,32.32727273
1/16/2021,Notre Dame,Beaver Dam,82,61,32,15,24,12,Win,0.682926829,56,68.45658537
1/16/2021,Manitowoc Lincoln,Sussex Hamilton,47,44,18,6,13,17,Loss,0.455882353,21.42647059,25.93058824
1/19/2021,Bay Port,Green Bay Preble,60,63,26,23,16,8,Win,0.65625,39.375,47.355
1/19/2021,Notre Dame,Sheboygan South,75,58,29,11,19,8,Win,0.648648649,48.64864865,58.01513514
1/19/2021,Sheboygan South,Notre Dame,45,51,17,7,10,16,Loss,0.385714286,17.35714286,20.28857143
1/19/2021,Manitowoc Lincoln,Pulaski,53,37,17,3,13,10,Win,0.526315789,27.89473684,33.09473684
1/19/2021,Green Bay Southwest,Kaukauna,85,64,34,10,23,16,Loss,0.612903226,52.09677419,62.81032258
1/20/2021,Sheboygan South,West Bend West,46,40,20,4,5,24,Loss,0.384615385,17.69230769,19.15384615
1/22/2021,Manitowoc Lincoln,Green Bay Preble,65,48,24,10,20,14,Win,0.611111111,39.72222222,49.01111111
1/22/2021,Green Bay Southwest,Notre Dame,55,54,21,8,10,20,Loss,0.407894737,22.43421053,25.53421053
1/22/2021,Notre Dame,Green Bay Southwest,85,65,33,9,26,14,Win,0.614583333,52.23958333,64.38375
1/22/2021,De Pere,Sheboygan North,63,42,24,4,10,9,Win,0.596491228,37.57894737,42.1122807
1/22/2021,Sheboygan South,Bay Port,57,41,21,5,11,34,Loss,0.395061728,22.51851852,25.82123457
1/22/2021,Bay Port,Sheboygan South,66,69,28,19,17,18,Win,0.529411765,34.94117647,41.78117647
1/23/2021,Manitowoc Lincoln,Appleton North,60,48,23,3,13,7,Loss,0.553846154,33.23076923,38.70276923
1/23/2021,Notre Dame,Pewaukee,70,51,28,8,12,12,Loss,0.597014925,41.79104478,47.2358209
1/23/2021,Bay Port,De Pere,60,40,21,7,11,12,Loss,0.571428571,34.28571429,39.06285714
1/23/2021,De Pere,Bay Port,79,46,24,5,18,8,Win,0.626865672,49.52238806,58.09791045
1/25/2021,Bay Port,Green Bay Preble,78,54,27,6,19,11,Win,0.58974359,46,54.51589744
1/26/2021,Notre Dame,Sheboygan North,81,56,35,9,18,14,Win,0.670886076,54.34177215,63.51949367
1/26/2021,De Pere,Green Bay Preble,80,59,30,11,17,13,Win,0.602564103,48.20512821,55.99025641
1/26/2021,Manitowoc Lincoln,Bay Port,59,44,21,3,15,15,Loss,0.507042254,29.91549296,35.69577465
1/26/2021,Bay Port,Manitowoc Lincoln,62,53,25,3,17,7,Win,0.567567568,35.18918919,42.52216216
1/26/2021,Sheboygan South,Pulaski,55,44,21,8,12,15,Loss,0.523809524,28.80952381,33.58666667
1/28/2021,Green Bay Southwest,Green Bay East,57,51,23,9,10,16,Win,0.485294118,27.66176471,31.35
1/29/2021,Bay Port,Ashwaubenon,66,53,25,11,12,11,Loss,0.569230769,37.56923077,42.76061538
1/29/2021,De Pere,Manitowoc Lincoln,65,51,25,9,21,5,Win,0.676470588,43.97058824,54.76705882
1/29/2021,Manitowoc Lincoln,De Pere,59,38,20,6,13,9,Loss,0.611111111,36.05555556,42.09333333
1/29/2021,Green Bay Southwest,Pulaski,61,47,21,11,16,11,Win,0.587301587,35.82539683,42.96698413
1/30/2021,Sheboygan South,Sheboygan Norh,48,49,18,8,11,21,Loss,0.397260274,19.06849315,22.38958904
2/1/2021,Green Bay Southwest,Ashwaubenon,74,62,31,8,18,13,Loss,0.576470588,42.65882353,50.54494118
2/2/2021,Notre Dame,Ashwaubenon,66,47,23,7,10,9,Loss,0.559322034,36.91525424,41.16610169
2/2/2021,Bay Port,Sheboygan South,70,61,25,12,10,12,Win,0.492957746,34.50704225,38.25352113
2/2/2021,Green Bay Southwest,Green Bay Preble,51,38,18,4,12,19,Loss,0.461538462,23.53846154,27.74769231
2/2/2021,Manitowoc Lincoln,Sheboygan South,64,39,15,9,11,11,Win,0.5,32,36.18
2/2/2021,Sheboygan South,Manitowoc Lincoln,39,61,16,9,14,10,Loss,0.394736842,15.39473684,19.59473684
2/2/2021,De Pere,Pulaski,74,57,28,16,15,10,Win,0.651515152,48.21212121,55.63939394
2/5/2021,Manitowoc Lincoln,Ashwaubenon,57,52,23,14,14,8,Loss,0.616666667,35.15,41.71133333
2/5/2021,De Pere,Bay Port,72,45,23,4,11,10,Win,0.548387097,39.48387097,44.0683871
2/5/2021,Bay Port,De Pere,65,55,27,7,14,7,Loss,0.594202899,38.62318841,44.94550725
2/5/2021,Notre Dame,Pulaski,89,58,37,5,28,11,Win,0.706521739,62.88043478,77.91521739
2/5/2021,Green Bay Southwest,Green Bay Preble,53,45,17,6,11,19,Win,0.405797101,21.50724638,24.89971014
2/6/2021,Bay Port,Manitowoc Lincoln,81,54,29,5,17,7,Win,0.630136986,51.04109589,59.18246575
2/6/2021,Manitowoc Lincoln,Bay Port,77,48,29,12,9,12,Loss,0.666666667,51.33333333,55.89333333
2/6/2021,De Pere,West De Pere,66,51,22,6,7,9,Loss,0.475409836,31.37704918,33.90622951
2/8/2021,Manitowoc Lincoln,Green Bay Southwest,60,44,24,6,13,11,Win,0.596774194,35.80645161,41.70258065
2/8/2021,Green Bay Southwest,Manitowoc Lincoln,59,47,24,10,19,12,Loss,0.632352941,37.30882353,46.44
2/9/2021,Bay Port,Notre Dame,65,69,26,16,18,13,Loss,0.523809524,34.04761905,41.21333333
2/9/2021,Notre Dame,Bay Port,89,77,38,13,19,11,Win,0.606382979,53.96808511,62.72425532
2/11/2021,De Pere,Notre Dame,72,52,23,9,11,10,Win,0.53125,38.25,42.69125
2/11/2021,Notre Dame,De Pere,70,54,27,6,13,8,Loss,0.579710145,40.57971014,46.30724638
2/13/2021,De Pere,Middleton,67,44,23,3,13,10,Win,0.5625,37.6875,43.245
2/16/2021,Sheboygan South,Oshkosh North,80,55,29,8,20,21,Loss,0.556818182,44.54545455,53.00909091
2/16/2021,Green Bay Southwest,Pulaski,80,48,28,5,15,7,Win,0.661538462,52.92307692,60.46461538
